연번,호선,역명,장비,호기,승강기번호,운행구간,설치위치
111,2,잠실,E/S,2,1801-757,B1(대)-지상,5번출구 상행
112,2,잠실,E/S,3,1808-875,지상-B1(대),1번출구 하행
113,2,잠실,E/S,4,1808-874,B1(대)-지상,1번출구 상행
114,2,잠실,E/S,5,1807-812,지상-B1(대),2번출구 하행
115,2,잠실,E/S,6,1807-811,B1(대)-지상,2번출구 상행
116,2,잠실새내,E/S,1,1802-837,B1(대)-지상,1번출구 상행
117,2,잠실새내,E/S,2,1802-748,지상-B1(대),2번출구 하행
118,2,잠실새내,E/S,3,1802-836,B1(대)-지상,2번출구 상행
119,2,잠실새내,E/S,4,1802-928,지상-B1(대),5번출구 하행
120,2,잠실새내,E/S,5,1802-929,B1(대)-지상,5번출구 상행
121,2,잠실새내,E/S,6,1802-930,지상-B1(대),6번출구 하행
122,2,잠실새내,E/S,7,1802-931,B1(대)-지상,6번출구 상행
123,2,잠실새내,E/S,8,1802-838,지상-B1(대),7번출구 하행
124,2,잠실새내,E/S,9,1802-839,B1(대)-지상,7번출구 상행
125,2,잠실새내,E/S,10,1802-609,지상-B1(대),8번출구 하행
126,2,잠실새내,E/S,11,1802-749,B1(대)-지상,8번출구 상행
127,2,종합운동장,E/S,1,1801-772,지상-B1(대),4번출구 하행
128,2,종합운동장,E/S,2,1801-773,B1(대)-지상,4번출구 상행
129,2,종합운동장,E/S,3,1809-564,지상-B1(대),8번출구 상행
130,2,종합운동장,E/S,4,1811-803,지상-B1(대),1번출구 하행
131,2,종합운동장,E/S,5,1811-804,B1(대)-지상,1번출구 상행
132,2,삼성,E/S,1,1805-214,지상-B1(대),3번출구 하행
133,2,삼성,E/S,2,1805-215,B1(대)-지상,3번출구 상행
134,2,삼성,E/S,3,1811-348,지상-B1(대),7번출구 하행
135,2,삼성,E/S,4,1811-347,B1(대)-지상,7번출구 상행
136,2,선릉,E/S,1,1802-744,지상-B1(대),4번출구 하행
137,2,선릉,E/S,2,1802-745,B1(대)-지상,4번출구 상행
138,2,역삼,E/S,1,1805-221,"B1(1,2,5~8통로)-B1(대)","1,2,5~8번출구 근접 하행"
139,2,역삼,E/S,2,1805-222,"B1(대)-B1(1,2,5~8통로)","1,2,5~8번출구 근접 상행"
140,2,역삼,E/S,3,1805-223,"B1(1,2,5~8통로)-B1(대)","1,2,5~8번출구 근접 하행"
141,2,역삼,E/S,4,1805-224,"B1(대)-B1(1,2,5~8통로)","1,2,5~8번출구 근접 상행"
142,2,역삼,E/S,5,1805-225,"지상(1,2통로)-B1(대)","1,2번출구 근접 하행"
143,2,역삼,E/S,6,1805-226,"B1(대)-지상(1,2통로)","1,2번출구 근접 상행"
144,2,역삼,E/S,7,1805-227,지상(5~8통로)-B1(대),5~8번출구 근접 하행
145,2,역삼,E/S,8,1805-228,B1(대)-지상(5~8통로),5~8번출구 근접 상행
146,2,역삼,E/S,9,1801-830,지상-B1(대),3번출구 하행
147,2,역삼,E/S,10,1801-837,B1(대)-지상,3번출구 상행
148,2,역삼,E/S,11,1805-229,지상-B1(대),4번출구 하행
149,2,역삼,E/S,12,1805-230,B1(대)-지상,4번출구 상행
150,2,교대(2),E/S,1,1801-775,지상-B1(대),6번출구 하행
151,2,교대(2),E/S,2,1801-774,B1(대)-지상,6번출구 상행
152,2,서초,E/S,1,1802-697,지상-B1(대),6번출구 하행
153,2,서초,E/S,2,1802-698,B1(대)-지상,6번출구 상행
154,2,서초,E/S,3,1806-990,지상-B1(대),3번출구 하행
155,2,서초,E/S,4,1806-989,B1(대)-지상,3번출구 상행
156,2,서초,E/S,5,1807-000,지상-B1(대),4번출구
157,2,서초,E/S,6,1806-999,B1(대)-지상,4번출구
158,2,서초,E/S,7,1808-896,지상-B1(대),"3,4번출구 하행"
159,2,서초,E/S,8,1808-892,B1(대)-지상,"3,4번출구 상행"
160,2,방배,E/S,1,1809-589,지상-B1(대),4번출구
161,2,방배,E/S,2,1809-590,B1(대)-지상,4번출구
162,2,사당(2),E/S,1,1804-019,B1(대)-B2(승),외선 하행 3-3
163,2,사당(2),E/S,2,1804-274,B2(승)-B1(대),외선 상행 3-3
164,2,사당(2),E/S,3,1804-020,B1(대)-B2(승),외선 하행 8-1
165,2,사당(2),E/S,4,1804-276,B2(승)-B1(대),외선 상행 8-1
166,2,사당(2),E/S,5,1804-021,B1(대)-B2(승),내선 하행 3-3
167,2,사당(2),E/S,6,1804-275,B2(승)-B1(대),내선 상행 3-3
168,2,사당(2),E/S,7,1804-277,B1(4호선환승)-B2(승),내선 하행 8-1
169,2,사당(2),E/S,8,1804-022,B2(승)-B1(4호선환승),내선 상행 8-1
170,2,사당(2),E/S,9,1804-023,지상-B1(대),14번출구 하행
171,2,사당(2),E/S,10,1804-024,B1(대)-지상,14번출구 상행
172,2,사당(2),E/S,11,1804-025,지상-B1(대),5번출구 하행
173,2,사당(2),E/S,12,1804-026,B1(대)-지상,5번출구 상행
174,2,낙성대,E/S,1,1803-573,지상-B1(대),4번출구 하행
175,2,낙성대,E/S,2,1803-574,B1(대)-지상,4번출구 상행
176,2,낙성대,E/S,3,1807-749,지상-B1(대),1번출구 하행
177,2,낙성대,E/S,4,1807-750,B1(대)-지상,1번출구 상행
178,2,낙성대,E/S,5,1813-233,지상-B1(대),5번출구
179,2,낙성대,E/S,6,1813-254,B1(대)-지상,5번출구
180,2,서울대입구,E/S,1,1803-446,B2(승)-B1(대),내선 상행 9-1
181,2,서울대입구,E/S,2,1803-447,B1(대)-B2(승),내선 하행 6-1
182,2,서울대입구,E/S,3,1803-448,B2(승)-B1(대),외선 상행 5-3
183,2,서울대입구,E/S,4,1803-449,B2(승)-B1(대),외선 상행 9-1 
184,2,서울대입구,E/S,5,1803-450,지상-B1(대),3번출구 하행
185,2,서울대입구,E/S,6,1803-451,B1(대)-지상,3번출구 상행
186,2,서울대입구,E/S,7,1803-452,지상-B1(대),4번출구 하행
187,2,서울대입구,E/S,8,1803-453,B1(대)-지상,4번출구 상행
188,2,봉천,E/S,1,1807-210,B1(대)-B2(승),외선 하행 5-3
189,2,봉천,E/S,2,1807-211,B2(승)-B1(대),외선 상행 6-2
190,2,봉천,E/S,3,1807-212,지상-B1(대),3번출구 하행
191,2,봉천,E/S,4,1807-213,B1(대)-지상,3번출구 상행
192,2,봉천,E/S,5,1807-214,지상-B1(대),6번출구 하행
193,2,봉천,E/S,6,1807-215,B1(대)-지상,6번출구 상행
194,2,신림,E/S,1,1807-277,B1(대)-지상(쇼핑몰),7번출구 상행
195,2,신림,E/S,2,1803-562,B1(대)-지상(두산아파트),2번출구 상행
196,2,신림,E/S,3,1803-563,지상-B1(대),2번출구 하행
197,2,신림,E/S,4,1810-998,지상-B1(대),4번출구 하행
198,2,신림,E/S,5,1810-999,B1(대)-지상,4번출구 상행
199,2,신대방,E/S,1,1803-536,F3(승)-F2(대),내선 하행 3-4
200,2,신대방,E/S,2,1803-537,F2(대)-F3(승),내선 상행 3-4
201,2,신대방,E/S,3,1803-538,F3(승)-F2(대),내선 하행 8-3
202,2,신대방,E/S,4,1803-539,F2(대)-F3(승),내선 상행 8-3
203,2,신대방,E/S,5,1803-540,F3(대)-F2(대),외선 하행 3-1
204,2,신대방,E/S,6,1803-541,F2(대)-F3(승),외선 상행 3-1
205,2,신대방,E/S,7,1803-542,F3(승)-F2(대),외선 하행 7-1
206,2,신대방,E/S,8,1803-543,F2(대)-F3(승),외선 상행 7-1
207,2,구로디지털단지,E/S,1,1803-560,상대식(내선)지상-F2,2번출구 상행
208,2,구로디지털단지,E/S,2,1803-561,상대식(내선)F2-지상,3번출구 하행
209,2,구로디지털단지,E/S,3,1803-558,상대식(외선)F2-지상,5번출구 하행
210,2,구로디지털단지,E/S,4,1803-559,상대식(외선)지상-F2,5번출구 상행
211,2,대림,E/S,1,1803-789,상대식(내선)F2-지상,1번출구 하행
212,2,대림,E/S,2,1803-788,상대식(내선)지상-F2(대),1번출구 상행
213,2,대림,E/S,3,1803-791,상대식(외선)F2(대)-지상,8벌출구 하행
214,2,대림,E/S,4,1803-790,상대식(외선)지상-F2(대),8번출구 상행
215,2,대림,E/S,5,1807-691,상대식(외선)F2(대)-지상,5번출구 하행
216,2,대림,E/S,6,1807-690,상대식(외선)지상-F2(대),5번출구 상행
217,2,신도림,E/S,1,1803-777,섬식 B3(승)-B2(연결통로),외선 상행 7-3
218,2,신도림,E/S,2,1803-776,섬식 B3(승)-B2(연결통로),외선 상행 7-3
219,2,신도림,E/S,3,1807-302,섬식 B3(승)-B2(1호선환승),내선 상행 4-1
220,2,신도림,E/S,4,1808-850,상대식 B3(승)-B2(연결),외선 상행
221,2,신도림,E/S,5,1808-849,상대식 B2(연결)-B3(승),외선 하행 4-2
222,2,신도림,E/S,6,1808-848,상대식 B3(승)-B2(연결),외선 상행
223,2,신도림,E/S,7,1808-847,상대식 B2(연결)-B3(승),외선 하행 5-1
224,2,신도림,E/S,8,1808-846,상대식 B3(승)-B2(연결),외선 상행
225,2,신도림,E/S,9,1808-845,상대식 B2-승강장 B3,외선 하행 7-3
226,2,양천구청,E/S,1,1811-009,지상-B1(대),2번출구 하행
227,2,양천구청,E/S,2,1811-000,B1(대)-지상,2번출구 상행
228,2,신정네거리,E/S,1,3810-961,지상-B1(대),1번출구 하행
229,2,신정네거리,E/S,2,3810-962,B1(대)-지상,1번출구 상행
230,2,신정네거리,E/S,3,1811-014,지상-B1(대),2번출구 하행
231,2,신정네거리,E/S,4,1811-015,B1(대)-지상,2번출구 상행
232,2,문래,E/S,1,1807-182,지상-B1(대),1번출구 하행
233,2,문래,E/S,2,1807-181,B1(대)-지상,1번출구 상행
234,2,문래,E/S,3,1807-183,지상-B1(대),2번출구 하행
235,2,문래,E/S,4,1807-184,B1(대)-지상,2번출구 상행
236,2,영등포구청,E/S,1,1803-525,지상-B1(대),1번출구 하행
237,2,영등포구청,E/S,2,1803-524,B1(대)-지상,1번출구 상행
238,2,당산,E/S,1,1803-575,지상-F2(대),3번출구 상행
239,2,합정,E/S,1,1800-427,상대식 B3(6호선환승)-B2(승),외선 상행 3-7
240,2,합정,E/S,2,1800-428,상대식 B3(6호선환승)-B2(승),내선 상행 7-3
241,2,합정,E/S,3,1809-484,지상-B2(대),2번출구 하행
242,2,합정,E/S,4,1809-485,B2(대)-지상,2번출구 상행
243,2,홍대입구,E/S,1,1800-425,섬식 B2(대)-B3(승),내선 하행 7-3
244,2,홍대입구,E/S,2,1800-426,섬식 B3(승)-B2(대),외선 상행 4-1
245,2,홍대입구,E/S,3,1808-983,지상-B2(대),2번출구 하행
246,2,홍대입구,E/S,4,1808-984,B2(대)-지상,2번출구 상행
247,2,홍대입구,E/S,5,1808-585,B2(대)-B3(대),1번출구 하행
248,2,홍대입구,E/S,6,1808-586,B3(대)-B2(대),1번출구 상행
249,2,홍대입구,E/S,7,1808-587,지상-B2(대),1번출구 하행
250,2,홍대입구,E/S,8,1808-588,B2(대)-지상,1번출구 상행
251,2,신촌,E/S,1,1808-986,지상-B1(대),7번출구 하행
252,2,신촌,E/S,2,1808-985,B1(대)-지상,7번출구 상행
253,2,신촌,E/S,3,1813-888,지상-B1(대),6번출구
254,2,신촌,E/S,4,1813-887,B1(대)-지상,6번출구
255,2,이대,E/S,1,1800-770,섬식 B2(대)-B3(승),내선 하행 9-3
256,2,이대,E/S,2,1800-771,섬식 B3(승)-B2(대),외선 상행 2-2
257,2,이대,E/S,3,1800-772,섬식 B2(대)-B3(승),내선 하행 2-2
258,2,이대,E/S,4,1800-759,섬식 B3(승)-B2(대),외선 상행 9-3
259,2,아현,E/S,1,1810-493,,1번출구
260,2,아현,E/S,2,1810-492,,1번출구
261,2,충정로,E/S,1,1809-482,섬식 B3(승)-B2(5호선환승),내선 하행 7-1
262,2,충정로,E/S,2,1809-483,섬식 B2(5호선환승)-B3(승),외선 상행 4-3
263,2,충정로,E/S,3,1809-207,B2(대)-B1(대),대합실 하행
264,2,충정로,E/S,4,1809-208,B1(대)-B2(대),대합실 상행
265,3,구파발,E/S,1,1808-122,지상-B1(대),3번출구 하행
266,3,구파발,E/S,2,1808-123,B1(대)-지상,3번출구 상행
267,3,연신내,E/S,1,1800-463,지상-B1(대),2번출구 하행
268,3,연신내,E/S,2,1800-464,B1(대)-지상,2번출구 상행
269,3,연신내,E/S,3,1800-465,지상-B1(대),4번출구 하행
270,3,연신내,E/S,4,1801-575,B1(대)-지상,4번출구 상행
271,3,불광,E/S,1,1808-124,지상-B1(대),5번출구 하행
272,3,불광,E/S,2,1808-125,B1(대)-지상,5번출구 상행
273,3,녹번,E/S,1,1813-889,B1(대)-지상,1번출구
274,3,녹번,E/S,2,1813-890,B1(대)-지상,1번출구
275,3,독립문,E/S,1,1800-879,B3(승)-B2(대),하행 7-1
276,3,독립문,E/S,2,1800-898,B3(승)-B2(대),하행 4-1
277,3,독립문,E/S,3,1806-175,B2(대)-B1(대),X-13 기둥 뒤쪽 하행
278,3,독립문,E/S,4,1806-176,B1(대)-B2(대),X-13 기둥 뒤쪽 상행
279,3,독립문,E/S,5,1810-779,지상-B1(대),3-1번출구 하행 
280,3,독립문,E/S,6,1810-780,B1(대)-지상,3-1번출구 상행 
281,3,경복궁,E/S,1,1800-315,B2(대)-B3(승),하행 9-1
282,3,경복궁,E/S,2,1800-308,B3(승)-B2(대),상행 2-4
283,3,경복궁,E/S,3,1800-003,B2(대)-B3(승),상행 8-3
284,3,경복궁,E/S,4,1800-004,B3(승)-B2(대),하행 3-2
285,3,경복궁,E/S,5,1800-309,B1(대)-B2(대),E계단 하행
286,3,경복궁,E/S,6,1800-310,B2(대)-B1(대),E계단 상행
287,3,경복궁,E/S,7,1800-005,B1(대)-B2(대),H계단 하행
288,3,경복궁,E/S,8,1800-006,B2(대)-B1(대),H계단 상행
289,3,경복궁,E/S,9,1810-125,지상-B1(대),3-1번출구 하행 
290,3,경복궁,E/S,10,1810-126,B1(대)-지상,3-1번출구 상행 
291,3,안국,E/S,1,1801-132,B3(대)-B4(승),하행 7-2
292,3,안국,E/S,2,1801-133,B4(승)-B3(대),상행 4-3
293,3,안국,E/S,3,1801-134,B3(대)-B4(승),하행 4-4
294,3,안국,E/S,4,1801-135,B4(승)-B3(대),상행 7-1
295,3,안국,E/S,5,1801-136,B2(대)-B3(대),X-14 기둥 뒤쪽 하행
296,3,안국,E/S,6,1801-137,B3(대)-B2(대),X-14 기둥 뒤쪽 상행
297,3,안국,E/S,7,1801-138,B2(대)-B3(대),X-25 기둥 뒤쪽 하행
298,3,안국,E/S,8,1801-139,B3(대)-B2(대),X-25 기둥 뒤쪽 상행
299,3,안국,E/S,9,1808-579,지상-B1(대),5번출구 하행
300,3,안국,E/S,10,1808-580,B1(대)-지상,5번출구 상행
301,3,종로3가(3),E/S,1,1800-338,B2(1호선연결)-B4(3호선연결),3호선연결통로 하행
302,3,종로3가(3),E/S,2,1800-339,B4(3호선연결)-B2(1호선연결),1호선연결통로 상행
303,3,종로3가(3),E/S,3,1800-082,"B1-B3(3,5연결통로)","3,5연결통로 하행"
304,3,종로3가(3),E/S,4,1800-083,"B3-B1(3,6,7,8출구방향)","3,5연결통로 상행"
305,3,종로3가(3),E/S,5,1800-084,B1-B3(2-1출구),3호선연결통 하행
306,3,종로3가(3),E/S,6,1800-085,"B1-B3(3,5연결통로)",
307,3,을지로3가(3),E/S,1,1800-477,B3(승)-B2(대),하행 7-2
308,3,을지로3가(3),E/S,2,1801-129,B3(승)-B2(대),하행 4-4
309,3,동대입구,E/S,1,1801-711,지상-B2(대),6번출구 하행
310,3,동대입구,E/S,2,1801-712,B2(대)-지상,6번출구 상행
311,3,동대입구,E/S,3,1810-107,지상-B1(대),5번출구 하행
312,3,동대입구,E/S,4,1810-108,B1(대)-지상,5번출구 상행
313,3,약수,E/S,1,1801-061,지상-B1(대),5번출구 하행
314,3,약수,E/S,2,1801-060,B1(대)-지상,5번출구 상행
315,3,금호,E/S,1,1800-224,지상-B1(대),2번출구 하행
316,3,금호,E/S,2,1801-394,B1(대)-지상,2번출구 상행
317,3,금호,E/S,3,1807-016,지상-B1(대),3번출구 하행
318,3,금호,E/S,4,1807-015,B1(대)-지상,3번출구 상행
319,3,옥수,E/S,1,1806-299,2(대)-지상,4번출구 하행
320,3,옥수,E/S,2,1806-300,지상-2(대),4번출구 상행
321,3,압구정,E/S,1,1809-342,지상-B1(대),1번출구 하행
322,3,압구정,E/S,2,1809-343,B1(대)-지상,1번출구 상행
323,3,압구정,E/S,3,1809-341,B1(대)-지상,5번출구 상행
324,3,압구정,E/S,4,1811-389,중층-B2(건물),3번출구 하행
325,3,압구정,E/S,5,1811-390,B2(건물)-중층,3번출구 상행
326,3,압구정,E/S,6,1811-392,중층-1,3번출구 하행
327,3,압구정,E/S,7,1811-391,1-중층,3번출구 상행
328,3,압구정,E/S,13,1811-449,B1(대)-지상,6번출구 상행
329,3,압구정,E/S,14,1811-450,B1(대)-지상,6번출구 하행
330,3,신사,E/S,1,1809-339,지상-B1(대),8번출구 하행
331,3,신사,E/S,2,1809-340,B1(대)-지상,8번출구 상행
332,3,신사,E/S,3,1802-051,B1(대)-B1(대),5번출구 하행
333,3,신사,E/S,4,1802-052,B1(대)-B1(대),5번출구 상행
334,3,신사,E/S,5,1802-053,지상-B1(대),5번출구 하행
335,3,신사,E/S,6,1802-054,B1(대)-지상,5번출구 상행
336,3,고속터미널,E/S,1,1802-099,B2(대)-B3(승),상행 2-3
337,3,고속터미널,E/S,2,1802-100,B3(승)-B2(대),상행 2-3
338,3,고속터미널,E/S,3,1802-101,B2(대)-B3(승),상행 4-3
339,3,고속터미널,E/S,4,1802-102,B3(승)-B2(대),상행 4-3
340,3,고속터미널,E/S,5,1802-103,B2(대)-B3(승),상행 7-2
341,3,고속터미널,E/S,6,1802-287,B3(승)-B2(대),상행 7-2
342,3,고속터미널,E/S,7,1802-288,B2(대)-B3(승),상행 9-2
343,3,고속터미널,E/S,8,1802-289,B3(승)-B2(대),상행 9-2
344,3,고속터미널,E/S,9,1802-290,B2(대)-B3(승),하행 2-3
345,3,고속터미널,E/S,10,1802-106,B3(승)-B2(대),하행 2-3
346,3,고속터미널,E/S,11,1802-291,B2(대)-B3(승),하행 4-3
347,3,고속터미널,E/S,12,1802-292,B3(승)-B2(대),하행 4-3
348,3,고속터미널,E/S,13,1802-107,B2(대)-B3(승),하행 7-2
349,3,고속터미널,E/S,14,1802-108,B3(승)-B2(대),하행 7-2
350,3,고속터미널,E/S,15,1802-104,B2(대)-B3(승),하행 9-2
351,3,고속터미널,E/S,16,1802-105,B3(승)-B2(대),하행 9-2
352,3,고속터미널,E/S,17,1809-326,B1(대)-B2(대),X-20 기둥 우측
353,3,고속터미널,E/S,18,1809-327,B2(대)-B1(대),X-20 기둥 우측
354,3,고속터미널,E/S,19,1802-109,B1(대)-B2(대),X-22 기둥 좌측
355,3,고속터미널,E/S,20,1802-110,B2(대)-B1(대),X-22 기둥 좌측
356,3,고속터미널,E/S,21,1809-328,B1(대)-B2(대),X-22 기둥 우측
357,3,고속터미널,E/S,22,1809-329,B2(대)-B1(대),X-22 기둥 우측
358,3,고속터미널,E/S,23,1809-338,B1(대)-B2(대),X-20 기둥 좌측
359,3,고속터미널,E/S,24,1802-111,B2(대)-B1(대),X-20 기둥 좌측
360,3,교대(3),E/S,1,1809-330,B2(대)-B3(승),하행 8-3
361,3,교대(3),E/S,2,1809-331,B3(승)-B2(대),상행 3-2
